id_reservation,reservation_sk,service_sk,event_sk,complaint_sk,beneficiary_sk,provider_sk,subcategory_sk,date_sk,localisation_sk,budget,rating,price,marketing_spend,new_beneficiaries,visitors,reservations
10850,1860,16435,6720,2303,3310,15209,17951,77,40,51220,4,8204,30226,1415,12190,300
10854,1864,17543,1266,2215,1625,14815,17952,92,47,34460,5,6698,44127,1751,15135,300
10857,1867,17009,7643,1371,4575,14825,17951,99,27,46599,5,7347,47199,1688,14448,300
10858,1868,15720,11962,1464,62,15146,17951,36,2,60477,4,6464,28956,1301,6894,300
10860,1870,17160,9302,378,739,15239,17954,74,26,15989,4,1444,10380,1099,9699,300
10866,1876,16276,2141,1429,4950,15424,17951,88,38,27678,5,6995,38599,1610,14675,300
10867,1877,16748,2865,1999,1213,15265,17952,66,16,47905,4,7024,34678,1245,10233,300
10875,1885,17916,10885,864,995,14937,17954,100,23,10520,4,2446,16322,1092,17238,300
10876,1886,16388,6320,1693,2797,14667,17954,73,28,13467,4,656,12242,811,10969,300
10879,1889,16066,8096,123,1050,15064,17952,100,35,44833,5,7871,60714,1982,15705,300
10880,1890,17632,7582,1862,1565,14941,17951,29,3,58588,5,4198,21975,1079,6162,300
10883,1893,17486,2592,644,1320,14697,17953,89,34,19020,5,3056,8056,1119,13861,300
10892,1902,17009,5511,173,2001,14887,17951,91,10,46753,4,3104,50360,1982,16665,300
10897,1907,17715,7572,1881,692,15279,17953,88,34,12781,5,4780,27920,1194,12381,300
10899,1909,16052,8660,1724,1458,14832,17951,92,7,61166,4,6028,29333,1294,15287,300
10900,1910,15854,5960,2413,677,15209,17952,63,37,25300,4,3921,22061,1123,7702,300
10901,1911,16605,85,2507,2051,14888,17953,86,13,18479,4,3775,21790,1233,11745,300
10908,1918,17463,9464,924,2196,14848,17951,41,6,49877,5,3417,18021,1112,8005,300
10914,1924,16755,7775,2177,2233,15344,17954,96,24,26685,4,1708,24288,1233,15972,300
10926,1936,16326,11521,1901,4014,14882,17952,66,4,18233,4,2031,15433,849,11530,300
10928,1938,16515,8180,2155,738,14909,17951,68,26,26637,4,5845,24859,1088,10993,300
10933,1943,15795,8216,1019,55,15021,17951,88,8,41546,4,7530,33183,1490,12900,300
10934,1944,16369,8761,469,2029,14882,17951,97,35,49851,5,4816,21357,1166,13170,300
10941,1951,15636,8141,2424,2418,14971,17954,98,35,9025,5,2546,3466,683,15914,300
10943,1953,16058,3955,125,397,15428,17953,83,39,14948,4,1582,14806,1171,13004,300
10945,1955,16974,3459,374,2064,14803,17951,88,45,45622,5,6942,36220,1469,14840,300
10960,1970,15697,8083,761,2911,15107,17951,99,28,44006,4,5807,47948,1955,13864,300
10973,1983,17897,3719,1815,4096,14825,17952,8,26,9828,4,1117,15403,767,3013,300
5,300,15808,3678,2432,2188,15335,17954,20220400,4,1249,4,3013,18688,1540,1240,28
11,600,15783,1911,1028,2097,14711,17951,20220700,2,35701,3,5606,5939,1269,1777,187
23,900,17532,5037,732,399,14961,17952,20221000,2,3688,4,5513,12054,496,517,258
10006,1016,16213,3288,1087,3582,15442,17953,95,4,17586,4,3943,26537,1442,15169,300
10007,1017,17924,6574,2184,2409,15302,17954,97,48,18459,3,1303,15739,1166,17119,300
10008,1018,15678,5663,1005,3780,15063,17952,95,7,55762,4,3535,37981,1843,16262,300
10014,1024,16013,10828,894,102,15405,17952,36,40,49356,3,8757,29302,1032,7098,300
10025,1035,17479,906,1688,1086,15174,17951,92,41,27434,4,3670,53246,1834,12194,300
10028,1038,15603,7086,1707,2856,15264,17951,91,35,20877,4,1161,20299,1314,14996,300
10029,1039,17431,7016,1909,1040,15281,17953,60,31,38121,4,1577,29703,1438,11556,300
10030,1040,17172,1886,509,4571,14846,17953,86,42,16779,3,3594,11782,906,13131,300
10034,1044,17731,7016,1356,618,15270,17953,90,18,28845,4,3350,6943,946,16266,300
10054,1064,17570,2082,459,847,15270,17951,65,37,56336,3,7220,45966,1633,9526,300
10057,1067,17019,7980,945,1813,14679,17952,75,8,46926,3,4004,57011,1982,13340,300
10061,1071,16896,9411,558,4579,15304,17951,79,5,25447,3,2165,18242,1130,13985,300
10062,1072,17202,128,832,517,15224,17953,39,27,13937,4,3851,9954,839,6986,300
10063,1073,16986,7094,1511,4402,15116,17953,47,9,36201,4,2086,30581,1205,9164,300
10066,1076,16855,4315,580,882,15101,17953,92,31,11658,4,1833,7450,925,12060,300
10067,1077,17840,3390,1073,4614,15444,17953,88,33,30420,4,1542,39030,1739,12759,300
10071,1081,16049,3308,1905,4924,15101,17954,78,34,24424,4,2439,17612,1250,12682,300
10074,1084,15689,6061,1360,2515,15131,17953,100,48,18429,4,4255,12815,1043,13217,300
10076,1086,17352,11996,2380,4058,15262,17951,88,41,41130,4,5021,55728,1912,15704,300
10077,1087,17185,8695,269,2090,15431,17953,75,34,10429,4,1185,12920,1156,12537,300
10080,1090,17167,3949,18,1731,15114,17951,70,22,38692,4,5751,24881,1170,11418,300
10082,1092,17307,2542,1795,2911,14725,17953,65,28,23375,4,4430,15821,1180,9615,300
10087,1097,16604,6354,802,1490,14830,17953,99,8,16302,3,4676,25688,1578,14808,300
10090,1100,15833,6093,1889,266,15166,17952,90,41,53097,4,7566,43441,1781,12250,300
10092,1102,17879,10049,1975,1550,15200,17953,59,15,22647,3,2666,11738,1028,10031,300
10094,1104,16032,11753,1786,1565,14744,17952,39,29,34680,4,8652,61132,1884,6123,300
10098,1108,16041,8071,1235,2548,14986,17952,80,39,60008,4,8359,15519,1143,12027,300
10099,1109,15858,6706,1240,1048,15187,17953,46,25,19522,4,1816,11343,809,7590,300
10100,1110,16490,6939,1141,4337,14934,17951,45,24,59196,3,3576,59648,1982,7182,300
10102,1112,15998,3988,2313,1883,14691,17952,98,16,45370,3,6736,29498,1592,13545,300
10109,1119,16873,1639,1592,1812,15129,17952,63,28,12805,3,1204,16158,840,8244,300
10120,1130,16525,2956,486,699,15059,17954,62,12,8540,4,1895,15208,938,8061,300
10127,1137,17414,5104,2065,2654,15393,17952,83,9,16902,3,3925,12618,968,13760,300
10135,1145,15646,6596,2423,1005,14828,17952,86,32,28727,4,1076,22798,1446,13429,300
10146,1156,15548,8744,1151,1870,14762,17954,90,28,8465,3,1867,3593,640,14701,300
10148,1158,16449,1300,747,3866,15191,17954,70,44,13827,4,2006,3662,536,10960,300
10152,1162,17385,3914,2373,2331,15331,17953,92,47,16670,3,3062,11110,1157,12692,300
10157,1167,16783,6793,1938,4555,15191,17952,84,28,60779,4,4751,59288,1982,14536,300
10160,1170,17391,4324,1860,4028,14844,17951,56,18,56057,4,5708,27492,1275,11183,300
10165,1175,16662,324,1714,96,14659,17951,90,16,44631,3,4887,20974,1167,12054,300
10167,1177,17677,6636,859,1171,14663,17951,91,19,25789,3,8978,16119,1036,12538,300
10179,1189,15619,2873,914,1085,15321,17954,89,7,7757,3,2581,12805,1160,12611,300
10180,1190,16059,3645,2077,2068,14725,17954,63,10,8933,3,981,6271,623,11508,300
10197,1207,15627,5267,2500,3953,15148,17952,88,43,31974,4,4568,47587,1699,14776,300
10204,1214,16627,2488,1385,1763,15304,17951,92,44,40250,3,7693,38194,1815,12941,300
10215,1225,16040,927,153,4777,14694,17951,83,38,12594,4,3239,13375,872,11136,300
10227,1237,16341,10727,946,2044,15043,17954,100,19,13783,3,2161,15086,993,14216,300
10230,1240,17038,9562,2226,3966,14663,17954,97,40,10197,4,2779,16197,1280,15146,300
10231,1241,16758,11395,564,4257,14813,17953,89,48,29003,4,3928,12133,885,14523,300
10234,1244,17260,9844,1767,2101,15324,17952,64,19,62745,4,5415,33253,1395,11304,300
10238,1248,17333,10372,2290,3715,15319,17954,37,27,13623,4,1483,4557,555,6155,300
10241,1251,16011,1685,1,4702,14868,17952,85,24,36245,3,3018,62115,1982,11751,300
10242,1252,17256,8228,2107,2735,14886,17953,80,43,33805,3,2174,36195,1725,10247,300
10254,1264,16236,10736,1462,3884,15435,17952,75,25,56266,4,4883,15760,1079,13870,300
10263,1273,17350,11799,935,3354,15389,17951,94,22,42643,3,7590,19455,1412,14976,300
10267,1277,17557,11773,1726,828,14830,17951,73,41,45939,4,3899,56667,1918,9666,300
10269,1279,17056,4570,1265,158,15333,17952,82,45,33064,3,8020,18562,994,14495,300
10277,1287,16996,3892,2471,955,15017,17952,99,20,31052,4,5237,16186,1022,15837,300
10278,1288,15954,4982,1077,2817,14934,17953,29,37,9627,4,3170,18849,932,5552,300
10285,1295,16895,4963,550,911,14700,17953,72,3,29324,4,4375,31069,1209,9116,300
10295,1305,16503,6588,1155,1780,15166,17953,95,41,30840,3,3225,21219,1220,12948,300
10297,1307,17800,9592,1966,1751,14694,17951,60,25,27269,4,5776,33240,1493,9222,300
10301,1311,17891,11035,263,281,15032,17951,98,39,56140,4,7786,54452,1917,12925,300
10310,1320,17185,4137,1071,3577,15219,17952,99,15,38095,4,7740,64059,1982,17533,300
10318,1328,17200,752,284,4741,15225,17954,93,12,9709,3,1904,8783,955,13196,300
10319,1329,17038,3883,1893,4251,15006,17953,74,12,30608,4,3437,31692,1287,11642,300
10320,1330,16015,7586,2517,4515,14776,17953,38,22,39717,3,1883,29865,1286,6239,300
10321,1331,16990,4680,411,3558,15059,17953,62,26,12200,3,1629,32310,1372,12054,300
10328,1338,15744,914,674,2694,15131,17952,75,10,38849,3,5445,21719,1095,14068,300
10333,1343,16151,5999,536,1363,15065,17953,86,6,21412,3,1772,8493,972,12699,300
10334,1344,17278,3112,1387,3485,14870,17951,99,42,42254,4,8173,44793,1982,13903,300
10339,1349,16379,7546,83,4502,15321,17951,27,2,29305,3,7371,33766,1204,5251,300
10340,1350,17164,8982,1142,4559,14731,17951,97,28,59584,4,7611,51862,1820,13964,300
10343,1353,17685,8860,1096,2430,15335,17953,86,29,27957,3,4689,21031,1319,13905,300
10351,1361,16301,4666,515,2190,15059,17952,69,26,28385,4,1648,15312,966,10303,300
10355,1365,16704,6115,103,574,15034,17954,93,7,8819,4,1494,8193,761,16505,300
10359,1369,17258,11414,1722,4169,15059,17953,93,2,12360,3,3590,39365,1621,15613,300
10364,1374,17314,8844,1473,3284,15243,17954,20,9,20801,3,1076,23584,823,2802,282
10367,1377,16765,7873,1193,2141,15333,17954,86,26,26940,3,3377,5405,838,11228,300
10368,1378,15482,8182,1976,414,14659,17953,84,7,9821,4,1304,14285,896,14877,300
10374,1384,16201,8453,2030,2521,14700,17951,99,29,43537,4,3579,27749,1405,17793,300
10379,1389,16072,2907,648,765,14886,17951,92,10,19843,4,1249,12613,979,13715,300
10381,1391,15731,97,2079,625,14953,17953,74,39,26873,4,4039,37607,1724,14166,300
10384,1394,17046,4772,2399,1679,15419,17953,79,14,19406,4,4187,10291,965,10598,300
10393,1403,16492,11025,2288,3494,15017,17954,26,45,12947,3,567,10134,625,6102,300
10398,1408,17744,1090,2422,1440,14700,17952,83,40,30444,4,4635,45704,1706,13169,300
10399,1409,17017,1410,2058,3910,15269,17953,17,9,15943,3,4170,14235,709,3334,300
10409,1419,16289,4320,1008,398,14731,17954,53,38,12103,4,2528,12947,1033,8081,300
10419,1429,16117,11727,619,4486,15324,17954,26,33,15260,3,1524,11622,793,3698,300
10424,1434,17607,5547,1291,2056,15435,17952,90,16,51980,3,8339,55344,1846,11645,300
10425,1435,17840,3295,2460,2129,15327,17954,46,11,20906,3,3776,18775,766,6980,300
10438,1448,17875,1419,2346,2417,15187,17952,99,19,29480,4,1595,14263,1227,14264,300
10439,1449,16470,8233,551,3029,15304,17953,86,33,20320,3,2620,10510,905,12403,300
10444,1454,17882,6195,2452,1894,15224,17954,95,2,10866,4,2156,6462,732,13896,300
10445,1455,17490,892,1015,474,14913,17954,77,20,5094,4,3000,3764,794,10491,300
10450,1460,15790,7450,29,4872,14738,17954,69,28,14027,4,1056,3417,560,9865,300
10460,1470,17304,5976,2035,3995,15115,17952,84,8,58578,3,5940,54358,1778,14224,300
10462,1472,15493,3511,906,3643,15262,17953,48,28,18007,3,3396,21587,1225,6977,300
10463,1473,15557,1535,182,3283,15339,17951,93,32,35639,3,5482,44123,1788,12649,300
10466,1476,17555,5498,2225,1735,14762,17953,73,47,39476,3,4010,36744,1639,10202,300
10468,1478,16134,2361,1515,600,15419,17951,84,32,28916,4,7980,60468,1982,12866,300
10481,1491,17104,11163,1024,254,15157,17953,78,17,24356,3,3610,39030,1393,10811,300
10482,1492,15517,1431,1757,4577,14777,17951,90,3,56389,4,8387,15634,1302,13895,300
10488,1498,16641,7073,1106,3779,15040,17951,93,22,52587,4,6148,17051,1276,16909,300
10495,1505,16185,4879,1121,4496,15327,17954,16,3,8755,3,1467,13671,601,3806,300
10498,1508,15512,4479,170,2850,14914,17953,87,17,15185,3,1054,12230,1154,13434,300
10501,1511,16371,8746,1844,3800,15264,17953,77,20,12294,4,4186,29796,1427,12090,300
10502,1512,17321,8826,1676,785,14846,17952,52,35,43686,3,3784,51944,1722,6161,300
10504,1514,17049,1,736,874,15103,17951,55,11,39825,3,7700,53989,1981,9056,300
10505,1515,16154,10860,171,2952,15335,17952,73,10,28335,3,5186,23125,1207,11915,300
10515,1525,15902,2689,1656,1368,15032,17951,53,12,46657,4,5383,21112,937,6826,300
