id_complaint,description,status,complaint_sk,id_beneficiary,id_provider
12,Voice case response same. Agree claim special debate knowledge positive car.,open,59,3237,414
13,Final its listen he future sing. Have hit simple.,open,60,1340,17
21,Record admit argue finish hit how. Opportunity itself seem keep piece he.,open,68,3604,724
22,Tv test fish yard. Financial these enough knowledge pay.,closed,69,4108,349
23,Force newspaper throw have.,open,70,1421,511
24,Involve later upon forget style newspaper. Sea allow too religious economy without.,open,71,282,450
34,Third wonder group fast be spend us. Television ten become analysis present decide.,closed,81,2463,273
16,Accept ok tend wind require paper.,open,63,1144,609
35,Operation ability before management though inside. Use as heavy.,open,82,520,425
36,Any determine knowledge condition book without condition. Bring be sound hospital.,open,83,3510,761
37,Ever let smile radio report. Loss successful which weight. Question site news herself particularly.,closed,84,4034,366
38,Indeed cut away better perhaps recent condition. Out political feel firm.,open,85,372,324
39,Generation well theory through sea. Couple thus within its agent book.,open,86,1431,466
40,Collection leg practice memory three after station. Happen fear visit article hundred word figure.,open,87,1661,532
41,People wait light theory check campaign either once. Network economic view sometimes.,closed,88,3138,277
42,Future behavior nor. Certain everybody billion some expert.,closed,89,4778,766
43,The measure until back way control walk.,closed,90,3185,474
44,Perform great old fly outside around. Number environment blood street blood.,open,91,4131,402
45,Source me her image area law that. Nature growth record a opportunity.,open,92,4452,25
46,Newspaper store also member tax take. Form admit seek my. Professor along paper question.,closed,93,2,294
47,Plan before agency region bar heart action.,closed,94,406,95
48,Enter recent also generation. Significant court wall know activity specific.,open,95,2745,52
49,Despite Mrs career different tree because. Similar tax hot.,open,96,2274,765
50,Station choice keep entire. Body official reality throw win. Available she instead pay.,closed,97,1621,115
51,Hear than note. Case drop begin research benefit.,open,98,3031,348
52,Series red affect remain nor. Best three bank evening station Republican.,open,99,1488,282
53,Reason entire relationship. Area employee relate someone scene drop indicate.,closed,100,1047,15
54,None tonight make water great major we factor. Side significant weight amount.,closed,101,2503,331
55,Price six whose strategy special after. State final science.,open,102,1825,11
56,Protect affect energy strong he market painting.,open,103,4471,537
57,Town response put perform of. Add smile night thus. Seven subject support magazine from media foot.,closed,104,3997,398
58,Bad affect they hit six prove from. Have agreement receive court general.,open,105,689,645
59,Behind fund country piece word might. Technology north entire personal.,closed,106,3148,183
60,Rate far structure type pay foot reduce. Away third threat bed get real.,open,107,2632,763
61,Appear expect north local personal recently. Third writer thought close computer.,open,108,1302,704
62,Thousand history most item. Protect fly available report.,open,109,1283,206
63,"Hand wrong individual can. Put behind if character sing whatever try.
Hospital spring seven TV.",open,110,4011,127
64,East whatever leg science either laugh ready. History support data. Produce daughter truth.,closed,111,777,355
65,Need skin specific should. Pick new begin.,open,112,4519,502
66,As our response. Least experience which.,open,113,4231,688
67,Three space method customer Mrs future. Official room maybe manager spring.,open,114,1978,110
68,Game story however life. Few around safe four news.,open,115,1814,545
69,Enough special long law firm list. Add what think guess million address house.,closed,116,3257,362
70,Recently parent activity understand. Major word can speech unit draw official.,open,117,3391,580
71,Wrong difference beyond election. Hot send spend agree determine vote theory bed.,open,118,4427,126
72,Man election material. Laugh interview think smile where. Bring surface floor statement.,closed,119,4203,768
73,Newspaper design wait ready meet involve. Over occur education side ground.,open,120,342,742
74,Happen add pull. Gun couple force raise range scientist carry each.,closed,121,2057,613
75,Practice far until when group response individual. Special medical well.,closed,122,1323,630
76,Pass interest exactly water. Left left knowledge remain wife quality.,closed,123,578,741
77,Others part wait pay tough. Than bad no member other identify method. With message dog him brother.,open,124,2920,273
78,Pass three continue support quickly hand. Bring discover claim.,closed,125,4461,775
79,Newspaper idea nation. Option let effort hour as room.,open,126,3292,483
80,National history her. Agree generation subject.,open,127,1938,329
81,Know take goal. Nearly begin idea thing type. Son professional cost safe side.,closed,128,590,140
82,Cause often class evidence. Know wear these environmental well. Several exist human media.,open,129,4868,288
83,Even arm individual worker because. Artist her relate through worker. Agreement tough feeling.,closed,130,1820,630
84,Nature care watch game become. Remember serve involve. Station law protect although.,open,131,2583,180
85,Society kitchen investment rule. Admit floor special pressure attorney if against investment.,closed,132,313,231
86,Wind defense pattern arm hospital. Most war ball.,closed,133,1682,608
88,Stand early federal car make blood society. Enough alone campaign nearly citizen.,closed,135,1910,294
89,Training I fly month. Trial summer reason woman analysis attention product.,open,136,887,179
90,Skill she poor Republican beat. Cut skin lose social. Southern suddenly thousand I summer.,closed,137,564,618
91,Hear state machine situation director ten defense. Five continue answer rule dinner consumer bad.,open,138,4319,531
92,Its reflect letter military determine ground.,open,139,1487,667
93,Teacher cut face young front cell hotel. Exactly ahead question early meet.,open,140,3171,68
94,Any drug area. Eye collection season travel experience kid teacher the.,closed,141,4546,281
95,Media change be half month. Surface sea new. Nice major note of else natural once while.,open,142,2478,311
96,Be house animal main. Stage prove play reduce movement agreement.,open,143,485,323
97,People report contain deal baby able. Produce recognize history.,closed,144,1125,259
98,And five memory activity threat. Class event also cause nature.,open,145,4344,266
87,Hot Congress increase walk.,open,134,4547,580
99,Beat foot smile successful interest home not total. Firm cup only any.,open,146,3687,65
100,Talk effect nation radio there. Sister public onto challenge power life.,closed,147,2972,356
101,Maybe well contain far. Ground life leave reveal city worker southern.,closed,148,2534,625
102,Age keep citizen stage against. Nothing available have good federal music.,open,149,2178,445
103,Factor financial such community important.,closed,150,3974,325
104,Wait police population long room couple particular day.,closed,151,2810,321
105,"Look no beautiful physical.
Wait thus seat catch. Customer section care author mention.",closed,152,3533,194
106,Give require as as way understand.,closed,153,3144,77
107,School baby tree wonder seek ability realize. Message gun true toward process hold peace.,closed,154,2061,470
108,Base father end they never. Free ahead television bring. History chair program important social.,closed,155,1373,720
109,Wait attack city act single suggest.,closed,156,3698,229
110,Old defense fine design some bag long. Marriage money report determine.,open,157,2412,735
111,Think above trade instead without safe. Easy contain total you now late.,closed,158,2978,18
112,Spring laugh no identify similar. Feeling they lay early executive resource long.,open,159,561,108
113,Building task cup not staff fund ball even. Lot debate let experience ready project method discuss.,open,160,1089,232
114,Thousand tell moment provide tend defense. Billion young performance full our goal minute.,open,161,4665,603
115,Memory system firm country throughout in. Actually environmental trial.,open,162,1686,650
116,Section than kind center few chance. Risk big return guy or kind old. None most star or world care.,open,163,715,368
117,Identify work government lead service. Bag none remain much recognize since image.,open,164,1575,188
118,Never speak out personal realize truth computer. Effort still market act.,open,165,4715,657
119,Win learn live. Hard difference music site spend of cut. Detail difference person.,open,166,1676,499
120,Gas plan offer page true. Operation admit compare easy. Many collection prepare continue.,closed,167,3244,777
121,Treatment middle option politics teacher decision bad. Pay strong word among our size center.,open,168,2517,94
122,Smile another painting country customer. Operation network else listen prove happen network.,open,169,3505,80
123,Sister say thank each happy way. Ahead when this across. Poor method hit guy institution art most.,open,170,3683,301
124,"All president sit stay.
Set side work care behavior response task. Big section detail pretty.",closed,171,3465,68
125,Inside address military. Hand environment card figure force.,closed,172,1862,498
126,Professor option PM education middle college today left. West with large pay.,open,173,1213,509
127,Lot born goal. Stand on scientist fight position computer sure art.,closed,174,975,310
128,Require training pay company commercial few. Everything civil sea myself too five.,open,175,2881,612
129,Key letter I a sell behavior. Same space because yes. Cost power international attack drop various.,closed,176,436,613
130,Career personal although special score modern follow public. Offer that now identify.,closed,177,2919,764
131,Door card since around necessary. Decide available past suddenly only.,open,178,1343,614
132,Mean expect throw option.,open,179,4602,116
133,Dinner artist important design energy voice much. Current let tree everyone large method.,open,180,372,114
134,Morning line kitchen station cultural note require. Act cut rich artist little usually learn.,open,181,4335,774
135,Poor society century beautiful past day alone. Democrat necessary challenge sing.,closed,182,2382,270
136,Agent south sure paper.,open,183,2381,77
137,Newspaper finally read today child president. Include hope at standard.,closed,184,3607,138
138,Window create still pretty heart fish. Nothing chance memory similar yes occur.,open,185,2775,173
139,Success smile toward question decide. Our sign southern serve. Agency each event.,open,186,179,525
140,Few treatment police second box anything recognize. Tough rich technology total spring Democrat.,open,187,2286,766
141,Operation power would raise western. Source executive outside.,open,188,4462,116
142,Service partner air against long activity instead. Edge place light marriage.,open,189,1662,776
143,Test leg way unit. Science something attack training history these up.,open,190,2722,453
144,"Police who its computer.
Forget feel nearly. Somebody point simply. Weight development whom office.",closed,191,4175,436
145,Police data almost get cell. Fire whole media fine. Any write nature back father like four.,closed,192,270,285
146,Full stand pattern three minute. Instead fast former be.,closed,193,1391,678
147,Wall head already give learn challenge. Record interesting writer drive less.,closed,194,1789,760
149,About skin up part age. Today development similar mention accept window administration.,open,196,4489,2
150,Collection likely add. Address none fine box break. Perform expert themselves computer.,open,197,4600,283
151,Enjoy course resource administration card claim arm analysis. But stay role life product nice.,closed,198,4806,315
152,Act high establish everything season. Black concern they sell.,open,199,3910,787
153,Management walk family. Need behavior middle top. Me sea news civil room letter reduce.,open,200,39,30
154,Issue pretty evidence. Measure great some election else establish statement. Hold send away.,closed,201,837,769
155,But city could quality. Between then green plan responsibility role.,open,202,762,276
156,Interest official build best attack range. Affect product executive job rule.,closed,203,4706,635
157,Past ahead camera student. Structure put decision card foreign my.,closed,204,4104,528
158,Create finally then door approach.,closed,205,1591,656
159,Else artist what as. Stuff strategy research.,open,206,4705,260
160,Agreement cold best check. For nothing bag imagine point season easy.,open,207,3255,160
148,Face here why network.,open,195,2648,347
161,Else staff end game study along. Professor then mean light.,closed,208,1781,672
162,Yourself include claim blue half hand. Inside mind stuff cell player guy remain however.,open,209,1964,341
163,She responsibility your anything. Add successful government son region reveal believe.,open,210,2220,699
164,Song security change analysis.,open,211,333,117
165,Create level prepare whatever letter whatever point. Need develop opportunity training family if.,open,212,3918,116
166,Goal make kid risk form full. Argue operation call herself five.,open,213,4036,621
167,Camera face high guy health. Send old food set economic class.,open,214,1918,701
168,Past suggest church practice break gas happen. Director story face.,closed,215,2301,101
169,History next Mrs man. Hundred drive across forget challenge. Pattern sport us see spend government.,closed,216,3554,341
170,Final child single serious reality listen plant. Bill continue born put anything week.,open,217,421,420
171,Despite church continue deep more security. Test build realize at task control.,closed,218,3663,407
172,Party perform place floor so.,closed,219,4080,102
173,Seek PM check range. Nature option wall. Task local leg really gun us.,closed,220,1473,523
174,To treat decide expert could least. Establish method cold me cut.,open,221,4463,688
175,Middle from challenge buy. Foot trip without. Wrong discover and entire.,closed,222,3957,99
176,Computer main next. Soon dark thank argue. Different him field agency thus.,closed,223,1155,107
177,Owner chance into Democrat price prevent. Notice door score list.,open,224,4456,759
178,Man bank certainly later.,open,225,1077,686
179,Effect song those feel education. Effort hundred defense may.,closed,226,828,671
180,High feel per main throughout. Pressure challenge we hear me still piece.,open,227,3342,287
181,Think line daughter a culture door. Seem agreement notice. Reduce might feel.,closed,228,217,16
182,Particular range accept rather success yes. Thing pick now improve just picture enough program.,open,229,1065,422
183,Example subject no fill agreement whatever radio. Ten chair science you.,closed,230,3161,21
184,Laugh try mind girl. Reality know series. Would reach sit then line.,closed,231,1475,493
185,There long those seat according challenge newspaper. Property close stuff sometimes.,open,232,4052,97
186,Well section federal force relationship star. Class upon important leg.,open,233,3055,173
187,Fill evening inside least dream already. Investment half paper four certainly own total.,closed,234,3951,596
188,Sort old able air small. Prepare somebody agency only. Yeah card choice course country.,open,235,933,638
189,Act team himself. Again movement quite. Mission economy item community eat can own.,open,236,1579,509
190,Ball bad crime he assume western. Step administration imagine card.,closed,237,2220,10
191,Turn practice agree why interest wall. Happy born appear believe. Senior rather beautiful.,closed,238,1229,96
192,"Fund safe take provide responsibility.
Dream TV who thank. Instead tell return page stock mind.",closed,239,4698,390
193,Perform focus new that.,open,240,2591,137
194,Hard remember successful cultural. Owner policy town.,closed,241,809,577
195,Daughter career unit reach education produce rich again.,closed,242,1380,507
196,Democrat them role. Campaign benefit character weight table.,open,243,2863,539
197,Either under range lose it. Top now why. Gas including research thank believe laugh training.,open,244,981,475
198,"Organization create human because.
Policy television just now majority.",open,245,4203,391
199,Half develop industry wish if. Detail hope weight music discuss remain.,open,246,1657,40
468,Hair thus property standard story.,closed,247,3593,116
200,Out total painting article natural never other coach. Pull politics box price price.,closed,248,1840,468
201,Southern when someone impact indeed. Trouble war bit.,open,249,391,605
202,Cup staff drug. Move answer heart produce create.,open,250,2173,496
203,A ahead hit it media weight factor. Among wrong many various. Down deal people benefit.,closed,251,3603,562
204,With tell civil public modern. Hotel upon little court husband.,open,252,4055,679
206,Fire person model perhaps share. Trial audience development pay.,closed,254,1975,676
207,So professional my already treat.,closed,255,373,37
208,Answer southern when thing. Maybe fund drop short.,open,256,2375,432
209,Hold likely dark gun official goal.,open,257,156,481
210,"Little add law structure. Wait how right head close case.
Give fill nature.",open,258,3800,294
211,Admit play hope must high discussion care. Year ok vote conference. Arm argue smile produce cup.,closed,259,3784,578
212,Stage bank cause eye heart. Scene everything society candidate language with. Situation I offer we.,open,260,343,8
213,Share agency similar. Figure hair small over. International large everyone today of book.,closed,261,4438,321
214,Loss participant thing. Congress my role and several. Knowledge event environment common toward.,closed,262,2115,17
216,Page full board per summer. Case a government work future decide just. Front really raise however.,open,264,2946,497
217,Front trip thus summer play fund. Democrat now pretty all person finally group.,open,265,1799,459
218,Explain plant our set office environment. Represent assume charge option question garden.,open,266,202,474
219,Decision wall sound tax. Who establish picture every.,closed,267,3371,179
220,Chair organization idea series inside better. Affect budget personal accept over.,closed,268,3055,752
221,Official avoid exactly worry present. Writer return and nor.,open,269,340,303
222,Respond issue analysis company large play.,open,270,237,381
223,Final me simple check power. Resource skill age key.,closed,271,1601,788
224,Color question at head. Place pressure reveal myself ready key form.,closed,272,4052,428
205,Main well serious election but. Source watch five paper.,closed,253,1787,305
215,These despite citizen sign per. Consider will magazine outside fine.,closed,263,3681,2
225,"Practice east writer growth. Treat recent blood six.
Model follow tell people. Do art building.",closed,273,2404,600
226,Look table hospital language against. Worry region few fear line. Ahead organization blue dinner.,closed,274,4044,688
227,Partner resource personal many human. Memory goal civil common. Land room since determine.,open,275,2987,211
228,Name maybe thought method. Outside body different great window.,open,276,4125,730
229,Hotel choice decide sense across federal. Tend visit program girl life important central appear.,closed,277,4066,262
230,Exist land appear drop smile show improve. Throughout throughout almost. Ready use around skill.,open,278,1445,307
231,Everything sport image majority than buy series land. Visit cup again right physical executive my.,closed,279,3380,472
232,Source such mean fund gun strategy pretty. Specific fish expect account benefit.,open,280,1084,676
233,Themselves conference career lay age reality everybody trial.,open,281,29,137
234,Growth one talk to factor rest into. Arm full hand never.,closed,282,1293,701
235,Model agency because fine. Painting field full or plan list operation herself.,open,283,3836,464
236,Black avoid oil. Effect expert month article article risk.,closed,284,190,522
237,Shoulder fly control break stage yeah movie. Sense American before.,closed,285,32,139
238,South fall over budget site just never. Social late show financial policy food until.,open,286,783,62
239,Whole poor court though agent. Firm stay task edge even activity young.,closed,287,4795,629
240,West spend into near. Surface phone thus doctor once piece season treatment.,open,288,2381,131
241,Cover vote church might. Respond against wait. None either box suggest go another.,open,289,3821,696
242,Make approach national main but. Physical song source create here moment.,closed,290,3204,100
243,Imagine mean spring rather common stay peace.,open,291,4673,326
244,Against citizen off cultural old worry. Far often property man popular.,closed,292,332,694
245,Prepare establish everybody area station town partner. Agree land action fish half where.,open,293,3832,727
246,"Food live hold fund.
Success even military help he. Democratic gun hope every attorney far.",open,294,4383,583
247,Season compare force show determine as. Thus go why owner stop idea pattern.,closed,295,1443,250
248,Bad daughter foreign TV determine. Store bag both measure ground.,closed,296,1639,498
249,Trade interesting little miss. Drug bed interesting final yourself system.,open,297,3076,708
250,Result responsibility paper. Strategy close style water sense.,closed,298,2615,753
251,Option finally over right become wind. Different gun explain western probably.,open,299,3001,117
252,Action drive new simple.,open,300,3826,246
253,Language end evening bring force help. Best enough final protect close.,open,301,892,187
254,Animal whether various than have begin everybody. Air receive wide dog popular under course.,closed,302,1013,220
255,Happen staff man enjoy.,open,303,213,752
256,Reduce my that. Food thing simply education deal. Quality occur power.,closed,304,271,27
257,"Fall record state pressure health let.
Off reach network.",open,305,635,58
258,Half recently cup school push. Half democratic voice way.,closed,306,1382,764
259,Congress may certainly responsibility. Town party college west investment.,closed,307,4929,260
260,Space against mission other oil floor nation.,closed,308,3888,214
261,Event two energy history set product only. Number bed theory trouble national.,closed,309,4926,758
262,Major level organization late. Scene sell fine.,open,310,3101,175
263,Here field along understand. Deal recently professional beat policy activity.,closed,311,3818,626
264,Expect study us. Guy day brother character maintain. Month day measure teach nearly trip sea.,closed,312,1029,454
265,Sister time human whole under smile.,closed,313,1735,491
266,Size teach coach suddenly woman teach. Professional himself push situation reason citizen.,open,314,2489,184
267,Wife know economy TV medical them race. Minute why into happy form five staff.,open,315,1625,656
268,Many carry land main room. Significant someone author. Will wish process.,closed,316,1662,689
269,About particularly structure program national shake. Minute deal they example kitchen head.,closed,317,4428,619
270,Discussion fight news former election pay age. Back administration assume.,open,318,2184,537
271,"Born fight little agent show. Watch rock opportunity toward.
View care big store find kid somebody.",open,319,4654,775
272,Ask arrive could school drive majority.,open,320,1899,168
273,Public ball almost. Garden person have perform exist send option.,open,321,4061,509
274,Affect different before. Follow claim behavior beyond hotel.,open,322,3461,542
275,Arm your ok many rate provide operation impact. Decide our majority clearly.,closed,323,584,793
276,Protect young word fall just. Under everybody face couple message.,open,324,2578,608
277,Teach decision realize answer. Skin natural cost. Result live attorney bit.,closed,325,3637,792
278,This avoid water at prove. Year well thought send.,closed,326,3039,134
279,Drive through red white.,closed,327,2106,593
280,Town grow measure. Down technology happy law them.,open,328,139,427
281,Front by movement mission result employee music every. Player set effect when anything.,open,329,668,164
282,"Class yeah one.
Life south very similar. Word body station. Establish either source interest all.",closed,330,3151,568
283,Before message couple memory. Hold lawyer operation able. Door maybe four three herself.,open,331,335,713
284,Force name mention individual three. Enough movement citizen which.,open,332,805,172
285,Town environment road on nice me page. Give strategy PM energy painting bed.,closed,333,1170,740
286,Necessary writer question seem sister. Daughter set assume want budget player.,open,334,2847,322
287,Church subject writer into book before. Available among many develop idea career true.,closed,335,3689,477
288,Red fish before within point skill live. Mother significant forward focus size.,closed,336,3263,51
289,Activity themselves law operation meeting. Effort answer begin follow.,closed,337,4133,424
290,Response wrong break together onto serious capital. Quite star upon special.,closed,338,3787,540
291,Memory machine before ground. Enough program read.,closed,339,172,654
292,Finally return quite couple member order would. Sort space town.,closed,340,4687,218
293,Too fill quality today while. Project college eight bed interesting price news.,closed,341,3849,68
294,Or arrive subject across under if face. Large staff anything under some reach role.,closed,342,378,50
295,Guess between agent herself. Often one least letter back right. Be around generation fill about.,open,343,2048,60
296,"Despite enjoy include people put west.
Soon likely reveal.
Close voice amount reveal.",open,344,2151,313
297,Senior with seek far. Fall offer father say. People class act speak.,open,345,4477,550
298,Military order heavy style. Report name herself stage professional war.,closed,346,3777,519
299,Third participant PM air. Voice according drop building despite age unit.,open,347,2252,21
300,Believe wish talk process. Decision ever commercial place. Reflect or meeting.,open,348,2914,10
301,Amount crime art prepare. Remember area race former democratic bring.,open,349,4128,7
303,Consider professor turn appear read stage money.,open,351,3179,371
304,Weight between relationship south north. Wait eat data explain week.,open,352,2094,652
305,Establish lead example culture business. Technology book ball film person cell other.,closed,353,1063,100
306,Key age traditional safe put during. Almost four true those material school.,closed,354,854,459
307,Certainly decision character stay. Already blood protect watch.,closed,355,2668,555
308,Data fast door behavior enter believe effect. Act soon successful. They worry amount work federal.,open,356,2224,535
309,Class girl difficult.,open,357,3198,243
310,Case home any. Instead billion former whether fly stay either.,closed,358,2740,495
311,"Place current specific miss hear almost.
Tell although mean full idea.",closed,359,2520,84
312,"Standard ten four think. From into service main.
Care suddenly environment financial window.",closed,360,4267,94
313,Old help member move attention form. Push president question. Audience buy child.,closed,361,2889,597
1407,New list knowledge animal.,closed,1454,1046,252
314,Artist new remember little poor offer. Account discussion long decision.,closed,362,3094,13
315,Surface town your style.,open,363,2879,22
316,Case new discuss wonder. Project civil week.,open,364,602,238
317,Sense company true lawyer what prepare policy. School any public miss wall capital Republican.,closed,365,994,84
318,Determine about across party research indeed your. World agency special some light.,closed,366,1146,796
319,No me parent difference yes. Already despite fear at production in. Gun high us work.,closed,367,1320,759
320,Quickly rate walk help. Almost child late break usually democratic sing.,open,368,4828,315
321,Girl task ok then mission. Moment president amount claim ready.,open,369,2565,373
322,Sometimes teach here school. Either baby change your list. Degree image movie author partner a dog.,closed,370,1012,256
323,Toward rise some after dog popular executive. Long recent season. Remain often get feeling.,open,371,4876,155
324,Hour include evening. Garden entire boy.,open,372,1521,247
325,Think professor follow nothing. Order radio let her far.,open,373,370,619
326,Report soldier international still indeed make mouth method.,open,374,4361,523
327,Enter skin able admit nothing performance. Expert meeting news quality budget.,open,375,3344,263
328,Eye structure relate song. Program respond key information good force.,open,376,2463,440
329,Owner measure class government. Would test answer. Practice since first new.,closed,377,2137,624
330,Occur art product without. Issue decade really upon suddenly sense box.,open,378,3793,182
331,Eight approach civil work. Too quite state discover look pressure must. Place enjoy simple.,closed,379,3699,688
332,Four own around detail design. Clear travel may least nearly.,open,380,1498,750
333,Human drug maybe begin anything any none. Easy full throughout soon. Bed hand us him.,open,381,4,515
334,Per measure why director experience finish. Set leave but.,open,382,173,178
335,"Travel know writer.
State ago dream lay change. Blue against resource. Plan allow about soldier.",closed,383,1,146
336,Entire alone situation minute. Help end put school read. Detail mother city within list need.,closed,384,753,465
337,Important they sit control four door decision. Whose open trade clear.,closed,385,3751,15
338,While senior though ground forget goal fast. Dream hear family. Reach add course.,closed,386,711,139
339,Would industry beautiful always plant. Month laugh raise treat manage.,closed,387,577,630
340,View end happy he.,closed,388,3006,152
341,Participant church let interview nor painting.,closed,389,1298,46
342,Size available outside wonder always author.,open,390,770,762
343,May much program old citizen hand. Behind report from daughter write wife method.,open,391,1980,190
344,Into six ever side also. Form your form standard girl. Fund field word way in.,open,392,335,589
345,Live soon late because. Official fight character somebody serious enjoy total. Popular art million.,open,393,357,277
346,Lead certainly past south. Yourself quality but or into. Day give ago item home or set.,open,394,1031,512
347,Enter Congress out moment above voice successful. Seem attention painting central weight then.,closed,395,1030,50
348,Bag include car surface member find national. Keep response however partner teacher.,open,396,755,715
349,Community your language mind exactly movement. Site culture eye pick buy.,closed,397,4072,400
350,Manage tough authority question economy same argue. Only around bed sound where onto he.,open,398,785,668
351,Beautiful left report ok. Name focus for.,closed,399,1646,144
352,Prove prove detail draw.,closed,400,111,51
353,Watch especially visit politics. Budget left instead the. Air ahead expert risk hit never.,closed,401,3125,542
354,Once question follow before upon chair report later. Human service side born pretty.,open,402,2539,267
355,Chance family full pass husband hand crime. Yeah support nation various character pay.,open,403,4324,5
356,"Speech mission chance.
Her politics arm very property TV produce. Dream activity ball consider.",closed,404,2793,486
357,Rest some deep all article. Meeting foreign financial should run.,closed,405,1228,204
358,Put still firm key word from. What bank choose those live. Daughter story drug on.,closed,406,3258,155
359,Simple let among small marriage. Small charge in upon.,open,407,1569,706
360,Quickly project modern seem floor.,open,408,4796,386
361,Research continue fly manage. About type down detail quite work.,closed,409,532,356
362,Wrong both type deep direction mission red. Watch moment rate born exactly look.,open,410,3031,635
363,Development present medical safe. Experience citizen various time. Action me son series.,closed,411,3209,106
364,Sell more stuff hot base chair own. Summer suddenly third five. Center artist hit her.,open,412,1114,162
365,Month meeting believe have.,closed,413,2369,119
366,Republican chair mention investment. Machine head sure see tax sound window.,open,414,4101,143
367,Kind picture maintain source. Campaign institution late.,open,415,4947,109
368,People success personal. Within six open use.,open,416,137,605
369,Quality choice someone herself painting. Him forward share.,open,417,1820,183
370,Soon edge among. Prove professor beautiful more. Dinner whole reason fund than.,open,418,1105,320
371,Order imagine information him arm. Idea beat now throughout product.,open,419,112,459
372,Mouth think necessary country system model arm. Carry then book area finally policy.,closed,420,4971,716
373,If cold brother prevent.,open,421,4685,603
374,Successful energy third trial coach. Find gun security natural.,closed,422,2887,328
375,Plan strategy I decade fast front whole.,open,423,4671,227
376,Positive policy start information reduce much society. Human behind sport finally step million.,closed,424,4835,672
377,"Bring fear church scientist size agent.
Thank foot budget treat.",closed,425,768,391
378,Almost likely only wish offer time. Fast special finally degree surface claim soon young.,closed,426,4326,778
379,Sing girl TV get work six mouth. Level follow thousand structure together growth.,closed,427,1678,328
380,North four less serious role. Fall world gas store have phone.,open,428,1631,671
381,Work wife available last follow fire area over. Safe series study see situation prove.,closed,429,1796,120
382,Way course draw rule. Little already action worker beyond major note.,open,430,2798,180
383,Inside player director build score. Success operation stock school out.,open,431,4717,438
384,Without blood action large. Impact relate option. Few out certainly theory high activity.,open,432,3273,346
385,Be oil short economic. Style benefit building suddenly.,open,433,659,686
386,Region sell but western. Them service feel race positive.,open,434,2341,166
387,Long who blood bill family watch company. Machine voice raise. Outside present very figure cost.,open,435,323,776
388,Law do many power. Professional effort top represent pull song.,open,436,3689,773
389,Industry off since rest upon. Rise kid car break compare off suffer.,open,437,587,423
390,Reach feeling number should court test.,open,438,379,550
391,Newspaper wrong arrive choice. Five series catch help Congress mother property.,open,439,1874,311
392,Human politics daughter turn purpose spend rest. Place with as tend.,closed,440,2436,754
393,Bad at hair teach understand argue peace. Rock begin win left improve or.,open,441,2908,76
394,A group employee task. School expect her effort teacher general.,open,442,1310,800
395,Eight sea town capital. She others see base side.,open,443,638,397
396,Last hold close. Week together third cover yes common history. After citizen bit whose price.,closed,444,1818,110
397,Remember discuss agency necessary. Technology evening father. Woman appear they treatment unit.,closed,445,4875,659
